TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
01/01/2016;24,6;29;26,6;90;3,39785848;7,1
01/02/2016;24,6;26,2;24,7;98;3,795489189;0
01/03/2016;23,8;26,9;25,1;95;4,32677816;0
01/04/2016;23;31;27,5;87;3,646754528;1,8
01/05/2016;23,6;31,6;28;84;0;3,6
01/06/2016;25;31,2;27,8;86;0;5
01/07/2016;25,6;32;28,2;80;1,945910149;5,7
01/08/2016;24,8;32,5;27,9;81;0;7,5
01/09/2016;24,4;32;28,3;82;0,765467842;8,166666667
01/10/2016;25,4;32,9;28,4;80;1,193922468;8,833333333
01/11/2016;25,6;32;28,2;81;1,294727168;9,5
01/12/2016;25,2;32;28,3;81;1,386294361;3,4
13/01/2016;26;32,2;28,5;81;0;6,5
14/01/2016;25,6;33,5;28,6;80;2,091864062;7,5
15/01/2016;25,2;30,4;27,2;88;2,721295428;8,5
16/01/2016;25;31,8;27,3;86;3,104586678;3
17/01/2016;25;31,4;27;88;2,681021529;5
18/01/2016;24,9;31,8;27,7;86;1,609437912;4,8
19/01/2016;24,8;31;27,7;87;0;4,6
20/01/2016;25,2;28,2;25,9;93;0,405465108;0,3
21/01/2016;24,2;30,6;27,5;87;3,854393893;0,4
22/01/2016;25;31,8;28,6;83;0,587786665;0,2
23/01/2016;25,6;32,4;28,8;80;0;3
24/01/2016;26,5;32,6;28,8;78;0;4,5
25/01/2016;25,2;32,6;28,6;78;0,405465108;9,6
26/01/2016;26;30;26,8;91;2,602689685;9
27/01/2016;25;32;28,2;83;3,025291076;1,5
28/01/2016;25;32,8;28,6;81;0;9,5
29/01/2016;25,2;31,6;28,3;83;0;7,05
30/01/2016;25,4;32,6;28,4;79;0;4,6
31/01/2016;25;32;28,7;77;0;8,2
02/01/2016;25,6;31,8;28,3;77;0;0
02/02/2016;25;31,9;27,7;81;0,262364264;7,5
02/03/2016;24,4;30,8;27,8;84;2,028148247;3,5
02/04/2016;24,6;28;25,9;94;2,406945108;1
02/05/2016;24,2;31,2;27,9;87;2,681021529;0
02/06/2016;24,2;32;27,9;84;0,470003629;4,3
02/07/2016;25;28;26,6;87;2,079441542;6,5
02/08/2016;24,4;28,6;27,1;80;3,875359021;0
02/09/2016;24,65;28,9;27,1;96;0,693147181;0
02/10/2016;24,9;29,2;27,1;86;2,493205453;0
02/11/2016;25,15;29,8;27,5;87;2,128231706;0
02/12/2016;25,4;31,6;28,2;84;1,547562509;0,2
13/02/2016;25,4;32,2;28,3;82;0;1,2
14/02/2016;25,4;32;28,7;82;0;8,2
15/02/2016;25,6;32,15;28,3;85;0;9
16/02/2016;26;32,3;28;78;0;7,75
17/02/2016;25;31,8;27,2;74;0;6,5
18/02/2016;24,1;31,6;27,7;80;0;8,05
19/02/2016;23,2;29;25,8;91;3,974058396;9,6
20/02/2016;24,2;27,1;25,6;93;4,74927053;1,3
21/02/2016;24,8;29,2;26,5;87;3,126760536;0
22/02/2016;24,8;30,9;27,2;84;0,875468737;1,5
23/02/2016;24,8;31;28,1;81;0,405465108;3
24/02/2016;25;26,6;25,4;94;0;8,1
25/02/2016;24,2;31,3;27,6;78;4,453183829;0
26/02/2016;24;31,2;27,5;78;3,771610852;4,7
