TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
2021-03-21;23,4;31,7;28;79;0;8,8
2021-03-22;24,2;32,4;27,2;83;0;7,6
2021-03-22;24,2;32,4;27,2;83;0;7,6
2021-03-23;23,8;31,9;27,8;81;1,609437912;4,9
2021-03-23;23,8;31,9;27,8;81;1,609437912;4,9
2021-03-24;24,5;30,6;26,6;87;1,419084184;7,5
2021-03-24;24,5;30,6;26,6;87;1,183770097;7,5
2021-03-25;24,6;27;25,6;92;0,875468737;4,5
2021-03-25;24,6;27;25,6;92;0,875468737;4,5
2021-03-26;24,2;31,6;27,9;81;2,240709689;0
2021-03-26;24,2;31,6;27,9;81;2,240709689;0
2021-03-27;24,8;30,9;26,3;87;0;7,6
2021-03-27;24,8;30,9;26,3;87;0;7,6
2021-03-28;24,6;30,9;27,1;86;2,451005098;5,4
2021-03-28;24,4;30,9;27,1;86;2,451005098;5,4
2021-03-29;24,2;30;26,7;87;1,526056303;4,5
2021-03-29;24,2;30;26,7;87;1,526056303;4,5
2021-03-30;24;32,9;28,2;80;3,742420221;5,4
2021-03-30;24;32,9;28,2;80;3,742420221;5,4
2021-03-31;24,1;32,9;28,1;78;2,87356464;9,1
2021-03-31;24,1;32,9;28,1;78;2,87356464;9,1
2021-01-04;24,3;32,6;28,9;73;2,749831735;7,8
2021-01-04;24,3;32,6;28,9;73;2,608598122;7,8
2021-02-04;25,8;32,4;28,2;80;2,444084655;6,7
2021-02-04;25,8;32,4;28,2;80;2,247072383;6,7
2021-03-04;24,8;33,2;27,5;83;2,00148;6,6
2021-03-04;24,8;33,2;27,5;83;2,00148;6,6
2021-04-04;24,1;30,6;27,2;84;3,044522438;6,1
2021-04-04;24,1;30,6;27,2;84;3,044522438;6,1
2021-05-04;24,6;30,9;26,5;90;2,272125886;2,2
2021-05-04;24,6;30,9;26,5;90;2,272125886;2,2
2021-06-04;25,1;32,5;28,3;79;2,949688335;0,5
2021-06-04;25,1;32,5;28,3;79;2,949688335;0,5
2021-07-04;24,8;32,2;28,3;78;0,641853886;9,6
2021-07-04;24,8;32,2;28,3;78;0,641853886;9,6
2021-08-04;24,8;32,6;28,4;78;1,526056303;9
2021-08-04;24,8;32,6;28,4;78;1,526056303;9
2021-09-04;24,2;32,4;28;80;0,09531018;7,8
2021-09-04;24,2;32,4;28;80;0,09531018;7,8
2021-10-04;24;32,7;28,4;75;0;7,6
2021-10-04;24;32,7;28,4;75;0;7,6
2021-11-04;24,7;32,9;27,9;82;1,734601055;9,9
2021-11-04;24,7;32,9;27,9;82;2,335374916;9,9
2021-12-04;24,4;32,3;27,3;78;2,708050201;7,8
2021-12-04;24,4;32,3;27,3;78;2,708050201;7,8
2021-04-13;24,1;30,6;27;86;3,386647601;4,1
2021-04-13;24,1;30,6;27;86;3,787215355;4,1
2021-04-14;23,8;32;27,1;86;4,072439727;6,3
2021-04-14;23,8;32;27,1;86;4,072439727;6,3
2021-04-15;24;30,6;25,8;90;2,219203484;2,2
2021-04-15;24;30,6;25,8;90;2,219203484;2,2
2021-04-16;23,9;31,3;27,8;80;2,708050201;3,4
2021-04-16;23,9;31,3;27,8;80;2,708050201;3,4
2021-04-17;24,6;31,4;25;92;0;6,4
2021-04-17;24,6;31,4;25;92;0;6,4
2021-04-18;22,9;31,8;26,9;83;4,991792206;1,1
2021-04-18;22,9;31,8;26,9;83;4,991792206;1,1
2021-04-19;23,3;31,5;26,6;85;4,706372066;5,4
2021-04-20;23,2;32,1;28,1;78;4,305415532;4,6
2021-04-20;23,2;32,1;28,1;78;3,625673378;4,6
2021-04-21;24,3;32,3;28,9;78;0;9
2021-04-21;24,3;32,3;28,9;78;0;9
2021-04-22;25,3;31,1;26,8;85;0,15415068;9
2021-04-22;25,3;31,1;26,8;85;0,287682072;9
2021-04-23;25,4;31,5;28,4;79;0,405465108;2,1
2021-04-23;25,4;31,5;28,4;79;0,405465108;2,1
2021-04-24;24,73333333;31,83333333;28,23333333;90;0;9
2021-04-24;24,06666667;32,16666667;28,06666667;90;0;9
2021-04-25;23,4;32,5;27,9;81;3,75419892;0
2021-04-25;23,4;32,5;27,9;81;3,75419892;0
2021-04-26;24,4;32;27,3;86;0;7,3
2021-04-26;24,4;32;27,3;86;0;7,3
2021-04-27;24,3;30,6;26,5;89;2,912350665;7
2021-04-27;24,3;30,6;26,5;89;2,912350665;7
2021-04-28;23,8;31,9;27,7;82;3,095577609;6,1
2021-04-28;23,8;31,9;27,7;82;3,095577609;6,1
2021-04-29;24,4;32,2;27,5;86;0,182321557;7,2
2021-04-29;24,4;32,2;27,5;86;0,182321557;7,2
2021-04-30;24;31,5;26,7;86;1,609437912;6
2021-04-30;24;31,5;26,7;86;1,609437912;6
2021-01-05;24,1;31,8;28,2;82;4,028916757;5,5
2021-01-05;24,1;31,8;28,2;82;4,028916757;5,5
2021-02-05;24,7;32,3;28,4;80;3,635830233;9,9
2021-02-05;24,7;32,3;28,4;80;2,978925155;9,9
2021-03-05;24,8;32,7;28,6;80;0,336472237;9,6
2021-03-05;24,8;32,7;28,6;80;0,336472237;9,6
2021-04-05;23,8;31,7;28,2;80;0;9,2
2021-04-05;23,8;31,7;28,2;80;0;9,2
2021-05-05;25;30;26,9;88;0;7,2
2021-05-05;25;30;26,9;88;0;7,2
2021-06-05;24,8;30,8;27,2;85;2,564949357;3
2021-06-05;24,8;30,8;27,2;85;2,564949357;3
2021-07-05;25;30,4;27,5;85;0,693147181;6,2
2021-07-05;25;30,4;27,5;85;0,693147181;6,2
2021-08-05;24,8;31;26,6;88;0,405465108;1,3
2021-08-05;24,6;31;26,6;88;0,405465108;1,3
2021-09-05;24,4;31,2;27,3;85;1,757857918;2,3
2021-09-05;24,4;31,2;27,3;85;1,757857918;2,3
2021-10-05;24,5;32,8;28,5;82;2,944438979;6,1
2021-10-05;24,5;32,8;28,5;82;2,944438979;6,1
2021-11-05;25,6;32,8;28,7;85;0;9
2021-11-05;25,6;32,8;28,7;85;0;9
2021-12-05;26,1;30,2;27,2;89;1,098612289;4,8
2021-12-05;26,1;30,2;27,2;89;1,098612289;4,8
2021-05-13;24,7;32,2;27,9;86;2,470920408;1,3
2021-05-13;24,7;32,2;27,9;86;3,028522096;1,3
2021-05-14;23;29,8;26,9;91;3,384390263;6,6
2021-05-14;23;29,8;26,9;91;3,384390263;6,6
2021-05-15;24,4;30,2;26,9;87;3,893859035;1,7
2021-05-15;24,4;30,2;26,9;87;3,893859035;1,7
2021-05-16;24,3;32,2;27,8;86;0,693147181;5,7
2021-05-16;24,3;32,2;27,8;86;0,693147181;5,7
2021-05-17;25;32,2;26,8;89;2,397895273;5,8
2021-05-17;25;32,2;26,8;89;2,397895273;5,8
