TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS
01/01/2016;24.6;29.0;26.6;90;33.978.584.803.966.400;7.1
01/02/2016;24.6;27.5;24.75;98;37.954.891.891.721.900;0.0
01/03/2016;23.8;27.5;25.1;95;43.267.781.604.434.000;0.0
01/04/2016;23.0;31.0;27.5;87;3.646.754.527.813.260;1.8
01/05/2016;23.6;31.6;28.0;84;0.0;3.6
01/06/2016;25.0;31.2;27.8;86;0.0;5.0
01/07/2016;25.6;32.0;28.2;80;19.459.101.490.553.100;5.7
01/08/2016;24.8;32.5;27.9;81;0.0;7.5
01/09/2016;24.4;32.0;28.3;82;0.7654678421395714;8.166.666.666.666.660
01/10/2016;25.4;32.9;28.4;80;11.939.224.684.724.300;8.833.333.333.333.330
01/11/2016;25.6;32.0;28.2;81;12.947.271.675.944;9.5
01/12/2016;25.2;32.0;28.3;81;13.862.943.611.198.900;3.4
13/01/2016;26.0;32.2;28.5;81;0.0;6.5
14/01/2016;25.6;33.5;28.6;80;20.918.640.616.783.900;7.5
15/01/2016;25.2;30.4;27.2;88;27.212.954.278.522.300;8.5
16/01/2016;25.0;31.8;27.3;86;3.104.586.678.466.070;3.0
17/01/2016;25.0;31.4;27.0;88;2.681.021.528.714.290;5.0
18/01/2016;24.9;31.8;27.7;86;16.094.379.124.341.000;4.8
19/01/2016;24.8;31.0;27.7;87;0.0;4.6
20/01/2016;25.2;28.2;25.9;93;0.4054651081081644;0.3
21/01/2016;24.2;30.6;27.5;87;385.439.389.259.151;0.4
22/01/2016;25.0;31.8;28.6;83;0.5877866649021191;0.2
23/01/2016;25.6;32.4;28.8;80;0.0;3.0
24/01/2016;26.5;32.6;28.8;78;0.0;4.5
25/01/2016;25.2;32.6;28.6;78;0.4054651081081644;9.6
26/01/2016;26.0;30.0;26.8;91;26.026.896.854.443.800;9.0
27/01/2016;25.0;32.0;28.2;83;30.252.910.757.955.300;1.5
28/01/2016;25.0;32.8;28.6;81;0.0;9.5
29/01/2016;25.2;31.6;28.3;83;0.0;7.05
30/01/2016;25.4;32.6;28.4;79;0.0;4.6
31/01/2016;25.0;32.0;28.7;77;0.0;8.2
02/01/2016;25.6;31.8;28.3;77;0.0;0.0
02/02/2016;25.0;31.9;27.7;81;0.26236426446749106;7.5
02/03/2016;24.4;30.8;27.8;84;2.028.148.247.292.280;3.5
02/04/2016;24.6;28.0;25.9;94;24.069.451.083.182.800;1.0
02/05/2016;24.2;31.2;27.9;87;2.681.021.528.714.290;0.0
02/06/2016;24.2;32.0;27.9;84;0.4700036292457356;4.3
02/07/2016;25.0;28.0;26.6;87;20.794.415.416.798.300;6.5
02/08/2016;24.4;28.6;27.1;80;38.753.590.210.565.500;0.0
02/09/2016;24.65;28.9;27.1;96;0.6931471805599453;0.0
02/10/2016;24.9;29.2;27.1;86;24.932.054.526.026.900;0.0
02/11/2016;25.15;29.8;27.5;87;2.128.231.705.849.260;0.0
02/12/2016;25.4;31.6;28.2;84;1.547.562.508.716.010;0.2
13/02/2016;25.4;32.2;28.3;82;0.0;1.2
14/02/2016;25.4;32.0;28.7;82;0.0;8.2
15/02/2016;25.6;32.15;28.3;85;0.0;9.0
16/02/2016;26.0;32.3;28.0;78;0.0;7.75
17/02/2016;25.0;31.8;27.2;74;0.0;6.5
18/02/2016;24.1;31.6;27.7;80;0.0;8.05
19/02/2016;23.2;29.0;25.8;91;39.740.583.963.475.900;9.6
20/02/2016;24.2;27.5;25.6;93;4.749.270.529.961.840;1.3
21/02/2016;24.8;29.2;26.5;87;3.126.760.535.960.390;0.0
22/02/2016;24.8;30.9;27.2;84;0.8754687373538999;1.5
23/02/2016;24.8;31.0;28.1;81;0.4054651081081644;3.0
24/02/2016;25.0;27.5;25.4;94;0.0;8.1
25/02/2016;24.2;31.3;27.6;78;445.318.382.899.021;0.0
26/02/2016;24.0;31.2;27.5;78;3.771.610.851.711.400;4.7
27/02/2016;23.8;31.6;27.3;85;0.0;9.4
28/02/2016;23.8;31.2;28.2;81;15.040.773.967.762.700;5.1
29/02/2016;26.0;31.4;28.3;78;0.26236426446749106;6.2
03/01/2016;25.6;31.8;28.0;79;0.5877866649021191;8.8
03/02/2016;25.9;30.2;27.7;83;0.832909122935104;8.0
03/03/2016;26.1;31.6;28.3;80;10.296.194.171.811.500;0.2
03/04/2016;26.2;29.4;26.9;88;1.515.127.232.962.850;5.5
03/05/2016;25.0;29.0;26.4;93;1.840.549.633.397.480;1.0
03/06/2016;25.0;31.8;28.4;84;2.580.216.829.592.320;1.0
03/07/2016;25.3;30.0;26.1;93;0.832909122935104;0.6
03/08/2016;25.0;29.8;27.3;90;36.584.202.466.292.200;0.2
03/09/2016;25.0;32.0;28.3;83;1.589.235.205.116.580;48.500.000.000.000.000
03/10/2016;25.0;32.4;28.0;85;0.0;9.5
03/11/2016;25.2;32.6;28.7;80;0.0;5.2
03/12/2016;25.1;33.2;28.7;80;0.2876820724517809;8.5
13/03/2016;25.0;31.900.000.000.000.000;28.7;82;0.5108256237659907;10.0
14/03/2016;25.8;30.6;27.6;86;0.6931471805599453;7.6
15/03/2016;25.0;31.6;28.0;79;17.047.480.922.384.200;6.3
16/03/2016;24.4;32.2;27.8;77;0.0;9.8
17/03/2016;24.5;32.8;28.0;74;0.0;8.5
18/03/2016;24.2;32.0;27.8;78;0.0;9.8
19/03/2016;24.2;32.5;28.2;78;0.0;5.5
20/03/2016;24.7;31.4;28.0;83;0.6418538861723948;5.6
21/03/2016;25.0;32.1;28.0;84;10.296.194.171.811.500;5.8
22/03/2016;25.4;31.4;26.1;90;0.5877866649021191;6.0
23/03/2016;23.6;31.8;28.5;85;29.856.819.377.004.800;3.1
24/03/2016;24.4;32.9;28.5;81;0.0;0.2
25/03/2016;24.9;32.0;28.2;80;0.0;2.4
26/03/2016;25.4;32.6;29.0;76;0.0;4.6
27/03/2016;26.0;31.0;28.2;80;0.0;5.1
28/03/2016;25.0;31.6;28.0;80;0.09531017980432487;0.0
29/03/2016;24.8;30.9;27.7;82;19.740.810.260.220.000;5.2
30/03/2016;24.4;33.0;28.9;76;0.0;6.85
31/03/2016;26.2;32.0;28.6;78;0.0;8.5
04/01/2016;26.0;32.8;28.4;77;0.0;7.8
04/02/2016;24.6;33.7;29.2;79;0.0;10.4
04/03/2016;25.8;32.6;28.6;81;0.0;8.9
04/04/2016;25.4;32.8;28.8;81;0.6931471805599453;5.933.333.333.333.330
04/05/2016;25.6;30.2;26.6;91;266.374.994.220.563;2.966.666.666.666.660
04/06/2016;25.3;32.8;28.1;81;32.846.635.654.062.000;0.0
04/07/2016;24.4;32.6;28.3;78;26.282.852.326.333.400;8.0
04/08/2016;24.4;32.5;28.3;80;0.0;6.3
04/09/2016;24.8;32.0;28.4;83;0.0;6.7
04/10/2016;25.6;33.6;29.4;79;0.0;6.300.000.000.000.000
04/11/2016;26.2;32.4;28.3;87;0.0;5.9
04/12/2016;25.8;33.0;29.3;81;25.257.286.443.082.500;3.5
13/04/2016;26.4;32.1;29.0;84;0.5877866649021191;7.5
14/04/2016;25.6;32.0;28.6;85;0.7419373447293773;3.8
15/04/2016;25.6;29.9;26.8;91;0.4054651081081644;2.7
16/04/2016;25.9;33.4;28.8;83;3.751.854.253.275.320;4.300.000.000.000.000
17/04/2016;26.2;33.4;29.5;81;30.819.099.697.950.400;5.9
18/04/2016;25.8;33.8;29.4;78;0.0;8.7
19/04/2016;26.0;34.4;29.7;78;0.0;8.6
20/04/2016;26.0;32.6;27.9;87;0.0;10.0
21/04/2016;25.4;32.6;28.7;83;0.8754687373538999;0.2
22/04/2016;25.4;32.6;27.6;89;2.667.228.206.581.950;18.499.999.999.999.900
23/04/2016;25.4;31.6;27.7;88;25.952.547.069.568.600;3.5
24/04/2016;25.4;31.2;28.2;86;22.192.034.840.549.900;0.0
25/04/2016;26.2;31.2;26.3;93;0.0;1.9
26/04/2016;25.0;31.4;28.1;85;3.996.364.153.861.890;2.3
27/04/2016;25.3;32.0;27.9;87;3.634.071.217.618.940;5.1
28/04/2016;25.15;31.8;28.0;86;3.060.270.794.691.560;4.449.999.999.999.990
29/04/2016;25.0;32.2;27.0;89;15.686.159.179.138.400;3.8
30/04/2016;24.4;31.7;27.2;89;2.509.599.262.378.370;4.5
05/01/2016;24.7;32.8;28.0;86;30.301.337.002.713.200;3.3
05/02/2016;25.0;33.4;28.8;82;15.260.563.034.950.400;0.0
05/03/2016;25.7;33.6;29.2;80;0.0;6.2
05/04/2016;25.3;33.8;29.7;78;0.0;7.8
05/05/2016;25.65;34.2;29.0;80;0.09531017980432487;7.8
05/06/2016;26.0;32.2;27.5;88;0.18232155679395462;7.8
05/07/2016;25.0;31.1;27.5;89;2.833.213.344.056.210;2.4
05/08/2016;24.8;32.5;28.4;85;23.978.952.727.983.700;4.0
05/09/2016;25.4;32.6;27.6;89;0.0;5.6
05/10/2016;24.0;33.4;29.1;82;38.242.840.911.201.300;6.75
05/11/2016;25.8;31.8;27.7;89;0.0;7.9
05/12/2016;25.4;30.4;27.7;89;2.975.529.566.236.470;3.8
13/05/2016;25.4;30.8;28.1;87;16.094.379.124.341.000;4.0
14/05/2016;26.0;31.0;26.9;92;20.014.800.002.101.200;3.5
15/05/2016;25.6;32.0;28.6;84;1.791.759.469.228.050;0.6
16/05/2016;25.4;33.0;27.0;90;0.0;8.3
17/05/2016;24.2;33.2;28.7;84;473.795.129.722.191;6.75
18/05/2016;25.3;32.6;27.4;90;4.184.337.600.748.800;5.2
19/05/2016;25.8;31.8;28.0;88;28.390.784.635.086.100;3.9
20/05/2016;26.0;32.2;28.9;85;0.6418538861723948;3.2
21/05/2016;26.2;31.2;28.1;86;0.0;5.7
22/05/2016;24.8;31.2;27.5;88;39.852.734.671.677.300;2.1
23/05/2016;24.6;33.4;29.2;81;3.317.815.772.723.100;0.1
24/05/2016;25.4;31.8;28.7;82;0.33647223662121295;6.5
25/05/2016;26.2;33.0;29.0;82;3.317.815.772.723.100;7.2
26/05/2016;24.2;29.9;27.0;91;39.852.734.671.677.300;4.1
27/05/2016;23.9;32.8;28.9;84;3.139.832.617.527.740;1.0
28/05/2016;25.8;31.4;27.3;88;0.4054651081081644;7.9
29/05/2016;25.0;32.0;28.0;86;18.245.492.920.510.400;1.1
30/05/2016;24.2;30.6;27.4;86;2.760.009.940.032.920;4.8
31/05/2016;24.2;32.4;28.6;81;0.5877866649021191;0.5
